id,filepath,filepath_google,filepath_sqc,MFC_id,elapsed_months,position,position_sub,read_length
MFC2_03m_anode_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months01_MFC_2_anode_4_S1_L001_R1_001_AAJEM.fastq.gz,/work/sqc_data/GoryaninU/150217_M02137_0066_000000000-AAJEM/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S1_L001_R1_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months02_MFC_2_anode_4_S1_L001_R2_001_AAJEM.fastq.gz,/work/sqc_data/GoryaninU/150217_M02137_0066_000000000-AAJEM/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S1_L001_R2_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months03_MFC_2_anode_4_S3_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S3_L001_R1_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months04_MFC_2_anode_4_S3_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S3_L001_R2_001.fastq.gz,2,3,anode,,310
MFC2_03m_chamber2_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months05_MFC_2_DNA2_S1_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R1_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months06_MFC_2_DNA2_S1_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R1_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months07_MFC_2_DNA2_S1_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R2_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months08_MFC_2_DNA2_S1_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R2_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber3_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months09_MFC_2_DNA3_S2_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R1_001.fastq.gz,2,3,chamber,chamber3,310
MFC2_03m_chamber3_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months10_MFC_2_DNA3_S2_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R1_001.fastq.gz,2,3,chamber,chamber3,310
MFC2_03m_chamber3_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months11_MFC_2_DNA3_S2_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R2_001.fastq.gz,2,3,chamber,chamber3,310
MFC2_03m_chamber3_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months12_MFC_2_DNA3_S2_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R2_001.fastq.gz,2,3,chamber,chamber3,310
MFC1_06m_anode_felt_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_felt_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months01_MFC_1_anode_felt_S6_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-felt_S6_L001_R1_001.fastq.gz,1,6,anode,felt,310
MFC1_06m_anode_felt_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_felt_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months02_MFC_1_anode_felt_S6_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-felt_S6_L001_R2_001.fastq.gz,1,6,anode,felt,310
MFC1_06m_anode_felt_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_felt_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months03_MFC_1_anode_felt_S7_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-felt_S7_L001_R1_001.fastq.gz,1,6,anode,felt,310
MFC1_06m_anode_felt_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_felt_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months04_MFC_1_anode_felt_S7_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-felt_S7_L001_R2_001.fastq.gz,1,6,anode,felt,310
MFC1_06m_anode_granules_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_granules_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months05_MFC_1_anode_granules_S7_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-granules_S7_L001_R1_001.fastq.gz,1,6,anode,granules,310
MFC1_06m_anode_granules_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_granules_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months06_MFC_1_anode_granules_S7_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-granules_S7_L001_R2_001.fastq.gz,1,6,anode,granules,310
MFC1_06m_anode_granules_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_granules_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months07_MFC_1_anode_granules_S8_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-granules_S8_L001_R1_001.fastq.gz,1,6,anode,granules,310
MFC1_06m_anode_granules_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_anode_granules_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months08_MFC_1_anode_granules_S8_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-anode-granules_S8_L001_R2_001.fastq.gz,1,6,anode,granules,310
MFC1_06m_chamber1_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_chamber1_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months09_MFC_1_Ch1_S8_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-Ch1_S8_L001_R1_001.fastq.gz,1,6,chamber,chamber1,310
MFC1_06m_chamber1_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_chamber1_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months10_MFC_1_Ch1_S8_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2014Jun-MFC-1-Ch1_S8_L001_R2_001.fastq.gz,1,6,chamber,chamber1,310
MFC1_06m_chamber1_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_chamber1_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months11_MFC_1_Ch1_S9_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-Ch1_S9_L001_R1_001.fastq.gz,1,6,chamber,chamber1,310
MFC1_06m_chamber1_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_06m_chamber1_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months12_MFC_1_Ch1_S9_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2014Jun-MFC-1-Ch1_S9_L001_R2_001.fastq.gz,1,6,chamber,chamber1,310
MFC2_06m_anode_felt_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_felt_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months13_MFC_2_anode_felt_S4_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-felt_S4_L001_R1_001.fastq.gz,2,6,anode,felt,310
MFC2_06m_anode_felt_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_felt_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months14_MFC_2_anode_felt_S4_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-felt_S4_L001_R2_001.fastq.gz,2,6,anode,felt,310
MFC2_06m_anode_felt_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_felt_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months15_MFC_2_anode_felt_S5_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-felt_S5_L001_R1_001.fastq.gz,2,6,anode,felt,310
MFC2_06m_anode_felt_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_felt_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months16_MFC_2_anode_felt_S5_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-felt_S5_L001_R2_001.fastq.gz,2,6,anode,felt,310
MFC2_06m_anode_granules_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_granules_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months17_MFC_2_anode_granules_S3_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-granules_S3_L001_R1_001.fastq.gz,2,6,anode,granules,310
MFC2_06m_anode_granules_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_granules_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months18_MFC_2_anode_granules_S3_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-granules_S3_L001_R2_001.fastq.gz,2,6,anode,granules,310
MFC2_06m_anode_granules_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_granules_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months19_MFC_2_anode_granules_S4_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-granules_S4_L001_R1_001.fastq.gz,2,6,anode,granules,310
MFC2_06m_anode_granules_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_anode_granules_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months20_MFC_2_anode_granules_S4_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-anode-granules_S4_L001_R2_001.fastq.gz,2,6,anode,granules,310
MFC2_06m_chamber1_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_chamber1_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months21_MFC_2_Ch1_S5_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-Ch1_S5_L001_R1_001.fastq.gz,2,6,chamber,chamber1,310
MFC2_06m_chamber1_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_chamber1_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months22_MFC_2_Ch1_S5_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Dec-MFC-2-Ch1_S5_L001_R2_001.fastq.gz,2,6,chamber,chamber1,310
MFC2_06m_chamber1_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_chamber1_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months23_MFC_2_Ch1_S6_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-Ch1_S6_L001_R1_001.fastq.gz,2,6,chamber,chamber1,310
MFC2_06m_chamber1_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_06m_chamber1_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/6months24_MFC_2_Ch1_S6_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Dec-MFC-2-Ch1_S6_L001_R2_001.fastq.gz,2,6,chamber,chamber1,310
MFC1_18m_anode_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_anode_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months01_MFC1_anode_GO_68B_S4_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_68B_S4_L001_R1_001.fastq.gz,1,18,anode,,251
MFC1_18m_anode_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_anode_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months02_MFC1_anode_GO_68B_S4_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_68B_S4_L001_R2_001.fastq.gz,1,18,anode,,251
MFC1_18m_anode_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_anode_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months03_MFC1_anode_GO_68B_S4_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_68B_S4_L002_R1_001.fastq.gz,1,18,anode,,251
MFC1_18m_anode_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_anode_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months04_MFC1_anode_GO_68B_S4_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_68B_S4_L002_R2_001.fastq.gz,1,18,anode,,251
MFC1_18m_chamber1_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber1_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months05_MFC1_chamber1_GO_65_S1_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_65_S1_L001_R1_001.fastq.gz,1,18,chamber,chamber1,251
MFC1_18m_chamber1_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber1_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months06_MFC1_chamber1_GO_65_S1_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_65_S1_L001_R2_001.fastq.gz,1,18,chamber,chamber1,251
MFC1_18m_chamber1_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber1_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months07_MFC1_chamber1_GO_65_S1_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_65_S1_L002_R1_001.fastq.gz,1,18,chamber,chamber1,251
MFC1_18m_chamber1_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber1_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months08_MFC1_chamber1_GO_65_S1_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_65_S1_L002_R2_001.fastq.gz,1,18,chamber,chamber1,251
MFC1_18m_chamber2_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months09_MFC1_chamber2_GO_66_S2_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_66_S2_L001_R1_001.fastq.gz,1,18,chamber,chamber2,251
MFC1_18m_chamber2_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months10_MFC1_chamber2_GO_66_S2_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_66_S2_L001_R2_001.fastq.gz,1,18,chamber,chamber2,251
MFC1_18m_chamber2_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months11_MFC1_chamber2_GO_66_S2_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_66_S2_L002_R1_001.fastq.gz,1,18,chamber,chamber2,251
MFC1_18m_chamber2_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months12_MFC1_chamber2_GO_66_S2_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_66_S2_L002_R2_001.fastq.gz,1,18,chamber,chamber2,251
MFC1_18m_chamber2A_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2A_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months13_MFC1_chamber2A_GO_67_S3_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_67_S3_L001_R1_001.fastq.gz,1,18,chamber,chamber2A,251
MFC1_18m_chamber2A_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2A_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months14_MFC1_chamber2A_GO_67_S3_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_67_S3_L001_R2_001.fastq.gz,1,18,chamber,chamber2A,251
MFC1_18m_chamber2A_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2A_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months15_MFC1_chamber2A_GO_67_S3_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_67_S3_L002_R1_001.fastq.gz,1,18,chamber,chamber2A,251
MFC1_18m_chamber2A_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber2A_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months16_MFC1_chamber2A_GO_67_S3_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_67_S3_L002_R2_001.fastq.gz,1,18,chamber,chamber2A,251
MFC1_18m_chamber3_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber3_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months17_MFC1_chamber3_GO_69_S5_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_69_S5_L001_R1_001.fastq.gz,1,18,chamber,chamber3,251
MFC1_18m_chamber3_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_18m_chamber3_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months18_MFC1_chamber3_GO_69_S5_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_69_S5_L001_R2_001.fastq.gz,1,18,chamber,chamber3,251
