fastq_id,sample_id,direction,filepath,filepath_google,filepath_sqc,MFC_id,elapsed_months,position,position_sub,read_length,size_bp
MFC2_18m_chamber2A_1_R1,MFC2_18m_chamber2A_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months37_MFC2_chamber2A_GO_73_S9_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L001_R1_001.fastq.gz,2,18,chamber,chamber2A,251,2739936083
MFC2_18m_chamber2A_1_R2,MFC2_18m_chamber2A_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months38_MFC2_chamber2A_GO_73_S9_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L001_R2_001.fastq.gz,2,18,chamber,chamber2A,251,3007397139
MFC2_18m_chamber2A_2_R1,MFC2_18m_chamber2A_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months39_MFC2_chamber2A_GO_73_S9_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L002_R1_001.fastq.gz,2,18,chamber,chamber2A,251,2740372680
MFC2_18m_chamber2A_2_R2,MFC2_18m_chamber2A_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months40_MFC2_chamber2A_GO_73_S9_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L002_R2_001.fastq.gz,2,18,chamber,chamber2A,251,3004164455
MFC2_18m_chamber3_1_R1,MFC2_18m_chamber3_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months41_MFC2_chamber3_GO_75_S11_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L001_R1_001.fastq.gz,2,18,chamber,chamber3,251,3150902776
MFC2_18m_chamber3_1_R2,MFC2_18m_chamber3_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months42_MFC2_chamber3_GO_75_S11_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L001_R2_001.fastq.gz,2,18,chamber,chamber3,251,3453341910
MFC2_18m_chamber3_2_R1,MFC2_18m_chamber3_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months43_MFC2_chamber3_GO_75_S11_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L002_R1_001.fastq.gz,2,18,chamber,chamber3,251,3152234679
MFC2_18m_chamber3_2_R2,MFC2_18m_chamber3_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months44_MFC2_chamber3_GO_75_S11_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L002_R2_001.fastq.gz,2,18,chamber,chamber3,251,3447045144
MFC2_18m_chamber4_1_R1,MFC2_18m_chamber4_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months45_MFC2_chamber4_GO_76_S12_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L001_R1_001.fastq.gz,2,18,chamber,chamber4,251,3067954775
MFC2_18m_chamber4_1_R2,MFC2_18m_chamber4_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months46_MFC2_chamber4_GO_76_S12_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L001_R2_001.fastq.gz,2,18,chamber,chamber4,251,3377781323
MFC2_18m_chamber4_2_R1,MFC2_18m_chamber4_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months47_MFC2_chamber4_GO_76_S12_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L002_R1_001.fastq.gz,2,18,chamber,chamber4,251,3062548740
MFC2_18m_chamber4_2_R2,MFC2_18m_chamber4_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months48_MFC2_chamber4_GO_76_S12_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L002_R2_001.fastq.gz,2,18,chamber,chamber4,251,3366793903
MFC1_36m_anode1_R1,MFC1_36m_anode1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_01_MFC1_Anode_1_3_S18_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_1_3_S18_R1_001.fastq.gz,1,36,anode,anode1,251,1749757725
MFC1_36m_anode1_R2,MFC1_36m_anode1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_02_MFC1_Anode_1_3_S18_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_1_3_S18_R2_001.fastq.gz,1,36,anode,anode1,251,1862802150
MFC1_36m_anode3_R1,MFC1_36m_anode3,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode3_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_03_MFC1_Anode_3_1_S19_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_3_1_S19_R1_001.fastq.gz,1,36,anode,anode3,251,1698611607
MFC1_36m_anode3_R2,MFC1_36m_anode3,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode3_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_04_MFC1_Anode_3_1_S19_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_3_1_S19_R2_001.fastq.gz,1,36,anode,anode3,251,1843736456
MFC1_36m_anode5_R1,MFC1_36m_anode5,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode5_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_05_MFC1_Anode_5_2_S20_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_5_2_S20_R1_001.fastq.gz,1,36,anode,anode5,251,1759905203
MFC1_36m_anode5_R2,MFC1_36m_anode5,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode5_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_06_MFC1_Anode_5_2_S20_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_5_2_S20_R2_001.fastq.gz,1,36,anode,anode5,251,1880011458
MFC1_36m_anode7_R1,MFC1_36m_anode7,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode7_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_07_MFC1_Anode_7_2_S21_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_7_2_S21_R1_001.fastq.gz,1,36,anode,anode7,251,1766127262
MFC1_36m_anode7_R2,MFC1_36m_anode7,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode7_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_08_MFC1_Anode_7_2_S21_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_7_2_S21_R2_001.fastq.gz,1,36,anode,anode7,251,1895442025
MFC1_36m_anode8_R1,MFC1_36m_anode8,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode8_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_09_MFC1_Anode_8_1_S22_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_8_1_S22_R1_001.fastq.gz,1,36,anode,anode8,251,1766958188
MFC1_36m_anode8_R2,MFC1_36m_anode8,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_anode8_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_10_MFC1_Anode_8_1_S22_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Anode_8_1_S22_R2_001.fastq.gz,1,36,anode,anode8,251,1892926486
MFC1_36m_channel5_R1,MFC1_36m_channel5,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_channel5_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_11_MFC1_Channel_5_S23_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Channel_5_S23_R1_001.fastq.gz,1,36,channel,channel5,251,1746555044
MFC1_36m_channel5_R2,MFC1_36m_channel5,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC1_36m_channel5_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_12_MFC1_Channel_5_S23_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC1_Channel_5_S23_R2_001.fastq.gz,1,36,channel,channel5,251,1866145580
MFC2_36m_anode2_R1,MFC2_36m_anode2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_13_MFC2_Anode_2_2_S24_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_2_2_S24_R1_001.fastq.gz,2,36,anode,anode2,251,1636250944
MFC2_36m_anode2_R2,MFC2_36m_anode2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_14_MFC2_Anode_2_2_S24_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_2_2_S24_R2_001.fastq.gz,2,36,anode,anode2,251,1739114402
MFC2_36m_anode3_R1,MFC2_36m_anode3,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode3_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_15_MFC2_Anode_3_1_S25_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_3_1_S25_R1_001.fastq.gz,2,36,anode,anode3,251,2028251317
MFC2_36m_anode3_R2,MFC2_36m_anode3,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode3_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_16_MFC2_Anode_3_1_S25_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_3_1_S25_R2_001.fastq.gz,2,36,anode,anode3,251,2191068401
MFC2_36m_anode5_R1,MFC2_36m_anode5,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode5_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_17_MFC2_Anode_5_1_S26_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_5_1_S26_R1_001.fastq.gz,2,36,anode,anode5,251,1749748652
MFC2_36m_anode5_R2,MFC2_36m_anode5,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode5_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_18_MFC2_Anode_5_1_S26_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_5_1_S26_R2_001.fastq.gz,2,36,anode,anode5,251,1878120441
MFC2_36m_anode6_R1,MFC2_36m_anode6,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode6_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_19_MFC2_Anode_6_2_S27_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_6_2_S27_R1_001.fastq.gz,2,36,anode,anode6,251,1757678913
MFC2_36m_anode6_R2,MFC2_36m_anode6,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode6_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_20_MFC2_Anode_6_2_S27_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_6_2_S27_R2_001.fastq.gz,2,36,anode,anode6,251,1877086904
MFC2_36m_anode7_R1,MFC2_36m_anode7,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode7_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_21_MFC2_Anode_7_1_S28_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_7_1_S28_R1_001.fastq.gz,2,36,anode,anode7,251,1798969676
MFC2_36m_anode7_R2,MFC2_36m_anode7,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode7_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_22_MFC2_Anode_7_1_S28_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_7_1_S28_R2_001.fastq.gz,2,36,anode,anode7,251,1931959486
MFC2_36m_anode8_R1,MFC2_36m_anode8,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode8_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_23_MFC2_Anode_8_1_S29_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_8_1_S29_R1_001.fastq.gz,2,36,anode,anode8,251,1654841832
MFC2_36m_anode8_R2,MFC2_36m_anode8,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_anode8_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_24_MFC2_Anode_8_1_S29_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Anode_8_1_S29_R2_001.fastq.gz,2,36,anode,anode8,251,1772956226
MFC2_36m_channel8_R1,MFC2_36m_channel8,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_channel8_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_25_MFC2_Channel_8_S30_R1_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Channel_8_S30_R1_001.fastq.gz,2,36,channel,channel8,251,1642957451
MFC2_36m_channel8_R2,MFC2_36m_channel8,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_36m_channel8_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3years_26_MFC2_Channel_8_S30_R2_001_AHMGH5BCXY.fastq.gz,/work/sqc_data/GoryaninU/170530_SN1077_0371_AHMGH5BCXY/Data/Intensities/BaseCalls/67-GoryaninU-DNA/G_MFC2_Channel_8_S30_R2_001.fastq.gz,2,36,channel,channel8,251,1757159480
